Geographical Location,Report Date,MDS Item Question/Description,MDS Item Response,Percent,Total Residents
Alabama,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Alabama,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Alaska,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Alaska,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Arizona,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Arizona,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Arkansas,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Arkansas,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
California,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
California,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Colorado,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Colorado,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Connecticut,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Connecticut,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Delaware,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Delaware,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
District of Columbia,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
District of Columbia,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Florida,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Florida,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Georgia,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Georgia,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Hawaii,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Hawaii,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Idaho,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Idaho,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Illinois,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Illinois,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Indiana,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Indiana,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Iowa,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Iowa,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Kansas,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Kansas,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Kentucky,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Kentucky,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Louisiana,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Louisiana,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Maine,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Maine,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Maryland,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Maryland,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Massachusetts,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Massachusetts,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Michigan,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Michigan,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Minnesota,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Minnesota,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Mississippi,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Mississippi,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Missouri,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Missouri,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Montana,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Montana,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Nebraska,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Nebraska,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Nevada,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Nevada,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
New Hampshire,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
New Hampshire,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
New Jersey,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
New Jersey,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
New Mexico,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
New Mexico,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
New York,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
New York,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
North Carolina,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
North Carolina,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
North Dakota,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
North Dakota,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Ohio,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Ohio,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Oklahoma,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Oklahoma,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Oregon,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Oregon,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Pennsylvania,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Pennsylvania,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Puerto Rico,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Puerto Rico,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Rhode Island,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Rhode Island,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
South Carolina,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
South Carolina,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
South Dakota,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
South Dakota,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Tennessee,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Tennessee,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Texas,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Texas,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Utah,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Utah,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Vermont,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Vermont,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Virgin Islands,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Virgin Islands,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Virginia,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Virginia,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Washington,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Washington,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
West Virginia,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
West Virginia,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Wisconsin,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Wisconsin,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
Wyoming,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Wyoming,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
National Total,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,No,*,*
National Total,"Q1, 2025",A1000A: Identification Information - Race/Ethnicity - American Indian or Alaska Native,Yes,*,*
Alabama,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
Alabama,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,No,*,*
Alaska,"Q1, 2025",A1000B: Identification Information - Race/Ethnicity - Asian,Yes,*,*
