CCN,Provider Name,City,State,Zip Code,FIPS County Code,County Name,Report Date,MDS Item Question/Description,MDS Item Response,Overall Percent,Total Residents,Short-Stay Percent,Short-Stay Residents,Long-Stay Percent,Long-Stay Residents
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",Total Number of Residents (sum over the quarter),N/A,100,47,42.55,20,57.45,27
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A0310F: Death in Facility - Number of Deaths in Facility,Death in facility,14.12,12,_,_,_,_
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A0310F: Discharge - Return Anticipation,Return Not Anticipated,15.29,13,_,_,0,0
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A0310F: Discharge - Return Anticipation,Return Anticipated,15.29,13,_,_,_,_
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A0310G: Discharge - Type of Discharge,Planned Discharge,50,13,_,_,_,_
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A0310G: Discharge - Type of Discharge,Planned Discharge: Return Not Anticipated (A0310F),_,_,_,_,0,0
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A0310G: Discharge - Type of Discharge,Unplanned Discharge,50,13,_,_,_,_
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A0310G: Discharge - Type of Discharge,Planned Discharge: Return Anticipated (A0310F),_,_,_,_,0,0
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A0310G: Discharge - Type of Discharge,Unplanned Discharge: Return Not Anticipated (A0310F),_,_,0,0,_,_
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A0310G: Discharge - Type of Discharge,Unplanned Discharge: Return Anticipated (A0310F),46.15,12,_,_,_,_
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A0800: Identification Information - Sex,Male,28.17,20,36.11,13,_,_
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A0800: Identification Information - Sex,Female,71.83,51,63.89,23,_,_
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A0900: Age of Resident (calculated from resident birth date),0-30,0,0,0,0,0,0
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A0900: Age of Resident (calculated from resident birth date),31-64,_,_,_,_,_,_
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A0900: Age of Resident (calculated from resident birth date),65-74,_,_,_,_,_,_
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A0900: Age of Resident (calculated from resident birth date),75-84,35.21,25,_,_,_,_
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A0900: Age of Resident (calculated from resident birth date),85-95,26.76,19,33.33,12,_,_
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A0900: Age of Resident (calculated from resident birth date),96-999,_,_,0,0,_,_
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025","A1005A: Identification Information - Ethnicity - Not of Hispanic, Latino/a, or Spanish Origin",No,_,_,_,_,0,0
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025","A1005A: Identification Information - Ethnicity - Not of Hispanic, Latino/a, or Spanish Origin",Yes,_,_,_,_,100,35
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025","A1005B: Identification Information - Ethnicity - Mexican, Mexican American, Chicano/a",No,_,_,_,_,100,35
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025","A1005B: Identification Information - Ethnicity - Mexican, Mexican American, Chicano/a",Yes,_,_,_,_,0,0
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A1005C: Identification Information - Ethnicity - Puerto Rican,No,100,71,100,36,100,35
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A1005C: Identification Information - Ethnicity - Puerto Rican,Yes,0,0,0,0,0,0
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A1005D: Identification Information - Ethnicity - Cuban,No,100,71,100,36,100,35
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A1005D: Identification Information - Ethnicity - Cuban,Yes,0,0,0,0,0,0
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025","A1005E: Identification Information - Ethnicity - Another Hispanic, Latino/a, or Spanish Origin",No,100,71,100,36,100,35
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025","A1005E: Identification Information - Ethnicity - Another Hispanic, Latino/a, or Spanish Origin",Yes,0,0,0,0,0,0
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A1010A: Identification Information - Race - White,No,_,_,_,_,_,_
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A1010A: Identification Information - Race - White,Yes,_,_,_,_,_,_
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A1010B: Identification Information - Race - Black or African American,No,_,_,_,_,_,_
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A1010B: Identification Information - Race - Black or African American,Yes,_,_,_,_,_,_
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A1010C: Identification Information - Race - American Indian or Alaska Native,No,100,71,100,36,100,35
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A1010C: Identification Information - Race - American Indian or Alaska Native,Yes,0,0,0,0,0,0
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A1010D: Identification Information - Race - Asian Indian,No,100,71,100,36,100,35
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A1010D: Identification Information - Race - Asian Indian,Yes,0,0,0,0,0,0
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A1010E: Identification Information - Race - Chinese,No,100,71,100,36,100,35
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A1010E: Identification Information - Race - Chinese,Yes,0,0,0,0,0,0
015009,"BURNS NURSING HOME, INC.",RUSSELLVILLE,AL,35653,059,Franklin,"Q1, 2025",A1010F: Identification Information - Race - Filipino,No,100,71,100,36,100,35
